Country name,Region,Income group,Year,GDP per capita,GDP,R&D expenditure,Government debt,Unemployment,Trade balance,Ages 15-64 proportion,Population,HDI,Political stability,Rule of law,Voice and accountability
Afghanistan,South Asia,Low income,2021,363.6740871,14583135237,NA,NA,5.58,NA,54.17139886,40099462,0.478,-2.518530369,-1.87635684,-1.567889929
Afghanistan,South Asia,Low income,2022,NA,NA,NA,NA,NA,NA,54.47502674,41128771,NA,-2.550801754,-1.658442259,-1.751587272
Albania,Europe & Central Asia,Upper middle income,1960,NA,NA,NA,NA,NA,NA,53.47226402,1608800,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1961,NA,NA,NA,NA,NA,NA,53.07780294,1659800,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1962,NA,NA,NA,NA,NA,NA,52.69714128,1711319,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1963,NA,NA,NA,NA,NA,NA,52.37757318,1762621,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1964,NA,NA,NA,NA,NA,NA,52.16105592,1814135,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1965,NA,NA,NA,NA,NA,NA,52.08922429,1864791,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1966,NA,NA,NA,NA,NA,NA,52.14449204,1914573,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1967,NA,NA,NA,NA,NA,NA,52.27500859,1965598,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1968,NA,NA,NA,NA,NA,NA,52.4760683,2022272,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1969,NA,NA,NA,NA,NA,NA,52.7463947,2081695,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1970,NA,NA,NA,NA,NA,NA,53.08906708,2135479,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1971,NA,NA,NA,NA,NA,NA,53.49868525,2187853,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1972,NA,NA,NA,NA,NA,NA,53.9579007,2243126,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1973,NA,NA,NA,NA,NA,NA,54.47615919,2296752,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1974,NA,NA,NA,NA,NA,NA,55.05169987,2350124,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1975,NA,NA,NA,NA,NA,NA,55.6609658,2404831,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1976,NA,NA,NA,NA,NA,NA,56.29634134,2458526,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1977,NA,NA,NA,NA,NA,NA,56.9484052,2513546,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1978,NA,NA,NA,NA,NA,NA,57.60174439,2566266,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1979,NA,NA,NA,NA,NA,NA,58.24304382,2617832,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1980,NA,NA,NA,NA,5.6,6700000,58.83966881,2671997,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1981,NA,NA,NA,NA,5.1,27400000,59.37467678,2726056,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1982,NA,NA,NA,NA,3.6,-86700000,59.85050535,2784278,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1983,NA,NA,NA,NA,4.4,-50900000,60.26864116,2843960,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1984,639.4847358,1857338012,NA,NA,5.7,-37800000,60.63034579,2904429,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1985,639.8659094,1897050133,NA,NA,6.7,-43500000,60.93179579,2964762,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1986,693.8734746,2097326250,NA,NA,6.4,-9000000,61.18165536,3022635,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1987,674.7933831,2080796250,NA,NA,6.1,-2100000,61.3836437,3083605,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1988,652.7743214,2051236250,NA,NA,7,-34300000,61.53075749,3142336,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1989,697.9955966,2253090000,NA,NA,7.3,-49800000,61.63271288,3227943,NA,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1990,617.2304355,2028553750,NA,NA,9.5,-131400000,61.69850038,3286542,0.647,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1991,336.5869945,1099559028,NA,NA,9.1,-232200000,61.73586267,3266790,0.629,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1992,200.8522198,652174990.8,NA,NA,26.5,-539300000,61.74443562,3247039,0.614,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1993,367.2792251,1185315468,NA,NA,22.3,-574200000,61.73360251,3227287,0.617,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1994,586.4161331,1880950858,NA,NA,18.4,-513100000,61.71364377,3207536,0.624,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1995,750.6044492,2392764853,NA,35.75690391,12.9,-532500000,61.69693737,3187784,0.634,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1996,1009.977114,3199640826,NA,37.48106496,12.3,-738500000,61.72522744,3168033,0.645,-0.336625129,-0.6844818,-0.648297846
Albania,Europe & Central Asia,Upper middle income,1997,717.3800477,2258513974,NA,53.10782497,14.9,-586432500,61.83453457,3148281,0.642,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,1998,813.7893966,2545964541,NA,55.56570386,17.7,-646330000,62.0328166,3128530,0.657,-0.544004202,-0.929671705,-0.387372851
Albania,Europe & Central Asia,Upper middle income,1999,1033.242532,3212121651,NA,NA,18.4,-556700000,62.30628129,3108778,0.669,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,2000,1126.68334,3480355258,NA,NA,16.8,-795800000,62.63416593,3089027,0.677,-0.539989591,-1.020667672,-0.285138667
Albania,Europe & Central Asia,Upper middle income,2001,1281.659826,3922100794,NA,NA,16.4,-936900000,63.00657785,3060173,0.684,NA,NA,NA
Albania,Europe & Central Asia,Upper middle income,2002,1425.124219,4348068242,NA,NA,4.61,-1160330000,63.41676509,3051010,0.689,-0.297719181,-0.762321413,-0.00815021
Albania,Europe & Central Asia,Upper middle income,2003,1846.120121,5611496257,NA,NA,15,-1419161206,63.84814893,3039616,0.696,-0.30978024,-0.716323495,0.070307687
Albania,Europe & Central Asia,Upper middle income,2004,2373.581292,7184685782,NA,NA,14.4,-1642928989,64.30753382,3026939,0.7,-0.427259684,-0.701032341,0.007237499
Albania,Europe & Central Asia,Upper middle income,2005,2673.787803,8052077209,NA,NA,6.57,-2039576837,64.80907356,3011487,0.711,-0.505047977,-0.763833165,0.003671788
Albania,Europe & Central Asia,Upper middle income,2006,2972.743618,8896074996,NA,NA,13.8,-2203548908,65.33881581,2992547,0.718,-0.508157313,-0.703135848,0.07588996
Albania,Europe & Central Asia,Upper middle income,2007,3595.038302,10677324873,0.087569997,NA,15.97,-2879743004,65.8829969,2970017,0.73,-0.203974649,-0.661545992,0.113008469
Albania,Europe & Central Asia,Upper middle income,2008,4370.539711,12881352878,0.154119998,NA,13.06,-3446126996,66.41929417,2947314,0.736,-0.030500913,-0.600079298,0.174939081
Albania,Europe & Central Asia,Upper middle income,2009,4114.134041,12044205572,NA,NA,13.67,-2967394173,66.93594,2927519,0.741,-0.045140512,-0.494370162,0.141477332
Albania,Europe & Central Asia,Upper middle income,2010,4094.349699,11926926654,NA,NA,14.09,-2456390642,67.40694162,2913021,0.754,-0.191482902,-0.385760486,0.123838224
Albania,Europe & Central Asia,Upper middle income,2011,4437.141146,12890760273,NA,69.63767392,13.48,-2932716633,67.79014319,2905195,0.766,-0.282379419,-0.442926466,0.062333763
Albania,Europe & Central Asia,Upper middle income,2012,4247.631356,12319834233,NA,63.66915264,13.38,-2296761241,68.06286787,2900401,0.778,-0.143631592,-0.519839764,0.022064038
Albania,Europe & Central Asia,Upper middle income,2013,4413.063397,12776224537,NA,70.58076979,15.87,-2308765606,68.21911844,2895092,0.785,0.091929786,-0.518606007,0.048892591
Albania,Europe & Central Asia,Upper middle income,2014,4578.633208,13228147516,NA,73.32022748,18.05,-2506992158,68.28993912,2889104,0.792,0.485986233,-0.310979843,0.1437774
Albania,Europe & Central Asia,Upper middle income,2015,3952.803584,11386853143,NA,79.86441815,17.19,-1966180769,68.29988963,2880703,0.795,0.341639042,-0.318997443,0.157161772
Albania,Europe & Central Asia,Upper middle income,2016,4124.05539,11861199831,NA,80.73558197,15.42,-2001510213,68.23476266,2876101,0.798,0.337447882,-0.32136485,0.170948684
Albania,Europe & Central Asia,Upper middle income,2017,4531.032207,13019726212,NA,75.88872782,13.62,-1978658722,68.15564597,2873457,0.802,0.37376982,-0.412762374,0.203807637
Albania,Europe & Central Asia,Upper middle income,2018,5287.660817,15156424062,NA,64.57038142,12.3,-2069586882,68.06658503,2866376,0.806,0.366642982,-0.414187849,0.188694432
Albania,Europe & Central Asia,Upper middle income,2019,5396.214227,15401826081,NA,75.69848825,11.47,-2103429046,67.89768966,2854191,0.81,0.11004968,-0.425378829,0.141880304
Albania,Europe & Central Asia,Upper middle income,2020,5343.037704,15162734205,NA,83.88749454,NA,-2210461796,67.70636816,2837849,0.794,0.088576451,-0.376249194,0.086402573
Albania,Europe & Central Asia,Upper middle income,2021,6377.203096,17930565119,NA,82.38361129,NA,-2392168078,67.48403516,2811666,0.796,0.196294025,-0.280372351,0.085914411
Albania,Europe & Central Asia,Upper middle income,2022,6802.804519,18882095518,NA,NA,NA,-1959879935,67.19819823,2775634,NA,0.114945494,-0.165779099,0.139465705
Algeria,Middle East & North Africa,Lower middle income,1960,239.0330056,2723615449,NA,NA,NA,NA,51.1212968,11394307,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1961,209.9171775,2434747054,NA,NA,NA,NA,50.60862907,11598608,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1962,169.9270132,2001444542,NA,NA,NA,NA,50.13594962,11778260,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1963,225.8233912,2702982015,NA,NA,NA,NA,49.65866228,11969451,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1964,238.8778048,2909316433,NA,NA,NA,NA,49.27720225,12179099,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1965,253.3090588,3136284304,NA,NA,NA,NA,49.04200753,12381256,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1966,241.0025716,3039859185,NA,NA,NA,NA,48.93884189,12613389,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1967,261.3662337,3370870374,NA,NA,NA,NA,48.94920884,12897115,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1968,292.0289837,3852147024,NA,NA,NA,NA,49.05971697,13190975,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1969,315.5620941,4257253261,NA,NA,NA,NA,49.22360184,13491016,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1970,352.5338401,4863526893,NA,NA,NA,NA,49.38681124,13795915,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1971,359.8217742,5077182746,NA,NA,NA,NA,49.53724135,14110271,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1972,468.6192604,6766744028,NA,NA,NA,NA,49.69119441,14439748,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1973,588.9071966,8707858006,NA,NA,NA,NA,49.86846589,14786469,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1974,871.7314622,13209871629,NA,NA,NA,NA,50.0860769,15153602,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1975,989.3930797,15557901445,NA,NA,NA,NA,50.05566564,15724692,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1976,1074.405245,17728240937,NA,NA,NA,NA,49.70393653,16500516,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1977,1223.991887,20972112004,NA,NA,NA,-1435820350,49.61549834,17134192,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1978,1495.209103,26364491320,NA,NA,NA,-2589071838,49.86830677,17632645,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1979,1829.897314,33243709744,NA,NA,NA,-246803578,50.16037612,18166981,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1980,2259.724367,42345829090,NA,NA,NA,1816831490,50.45241495,18739378,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1981,2291.755924,44348587046,NA,NA,NA,1781126363,50.7369057,19351357,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1982,2260.347688,45207170762,NA,NA,NA,1477290256,51.0253013,20000096,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1983,2359.593264,48801369811,NA,NA,NA,1468635149,51.32593332,20682111,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1984,2510.036833,53698548298,NA,NA,NA,1572829659,51.64858721,21393530,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1985,2617.725449,57937868670,NA,NA,NA,2180476550,51.99643698,22132905,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1986,2783.43122,63692012412,NA,NA,NA,-1300848163,52.3804982,22882553,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1987,2829.879469,66745822963,NA,NA,NA,1522761522,52.75546926,23586101,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1988,2437.37806,59089400190,NA,NA,NA,68472692.64,53.13012074,24243018,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1989,2235.268024,55634719135,NA,NA,17.64,424784809.2,53.55634003,24889507,NA,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1990,2431.551269,62048505222,NA,NA,21.26,3355174104,54.0381006,25518074,0.591,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1991,1749.286087,45715676428,NA,NA,20.6,4698239987,54.52832441,26133905,0.594,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1992,1794.623507,48003133347,NA,NA,24.38,NA,54.99762462,26748303,0.599,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1993,1825.875123,49945585166,NA,NA,26.23,NA,55.50478987,27354327,0.601,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1994,1522.82521,42543177031,NA,NA,27.74,NA,56.08611925,27937006,0.602,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1995,1466.544691,41764291964,NA,NA,31.84,NA,56.80486693,28478022,0.606,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1996,1619.532403,46941553940,NA,NA,NA,NA,57.71231232,28984634,0.617,-1.783310533,-1.218194842,-1.166290164
Algeria,Middle East & North Africa,Lower middle income,1997,1634.46741,48177612042,NA,NA,25.43,NA,58.72387466,29476031,0.624,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,1998,1610.302968,48187781711,NA,NA,NA,NA,59.77416592,29924668,0.633,-1.8789047,-1.198362112,-1.244342446
Algeria,Middle East & North Africa,Lower middle income,1999,1602.864915,48640671735,NA,NA,NA,NA,60.85429973,30346083,0.641,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,2000,1780.376071,54790398813,NA,NA,29.77,NA,61.9191671,30774621,0.649,-1.432577372,-1.245844364,-1.110052228
Algeria,Middle East & North Africa,Lower middle income,2001,1754.582365,54744698044,0.230279997,NA,27.3,NA,62.93806008,31200985,0.655,NA,NA,NA
Algeria,Middle East & North Africa,Lower middle income,2002,1794.811114,56760355865,0.366400003,NA,25.9,NA,63.89414247,31624696,0.664,-1.634565115,-0.636733174,-1.044660211
Algeria,Middle East & North Africa,Lower middle income,2003,2117.048229,67863850334,0.196229994,NA,23.72,NA,64.76187593,32055883,0.67,-1.754409075,-0.605380774,-1.076718092
Algeria,Middle East & North Africa,Lower middle income,2004,2624.795232,85332581189,0.163570002,NA,17.65,NA,65.52229661,32510186,0.678,-1.359188437,-0.616287351,-0.802059054
Algeria,Middle East & North Africa,Lower middle income,2005,3131.328176,103198000000,0.066040002,NA,15.27,24201000000,66.14522323,32956690,0.685,-0.91366601,-0.773644507,-0.715685964
Algeria,Middle East & North Africa,Lower middle income,2006,3500.13461,117027000000,NA,NA,12.27,31947000000,66.65768907,33435080,0.69,-1.126413465,-0.775204539,-0.916875541
Algeria,Middle East & North Africa,Lower middle income,2007,3971.803488,134977000000,NA,NA,13.79,30125606755,67.08056354,33983827,0.697,-1.150585532,-0.791886449,-0.984122396
Algeria,Middle East & North Africa,Lower middle income,2008,4946.564017,171001000000,NA,NA,11.33,32476308402,67.38206756,34569592,0.705,-1.095846295,-0.767772257,-0.979712248
Algeria,Middle East & North Africa,Lower middle income,2009,3898.478806,137211000000,NA,NA,10.16,-909806577.2,67.55728447,35196037,0.714,-1.196913481,-0.825566888,-1.038418889
Algeria,Middle East & North Africa,Lower middle income,2010,4495.921455,161207000000,NA,NA,9.96,9943077525,67.5980207,35856344,0.721,-1.259367585,-0.816793382,-1.022330761
Algeria,Middle East & North Africa,Lower middle income,2011,5473.281801,200013000000,NA,NA,9.96,17000013501,67.50061156,36543541,0.727,-1.360560656,-0.845334828,-1.004121184
Algeria,Middle East & North Africa,Lower middle income,2012,5610.733306,209059000000,NA,NA,10.97,12805677995,67.26458974,37260563,0.729,-1.325043321,-0.812617719,-0.906026602
Algeria,Middle East & North Africa,Lower middle income,2013,5519.777576,209755000000,NA,NA,9.82,2923291765,66.87410535,38000626,0.731,-1.202371478,-0.693158984,-0.893353224
Algeria,Middle East & North Africa,Lower middle income,2014,5516.229463,213810000000,NA,NA,10.21,-7677836863,66.36594385,38760168,0.735,-1.190535188,-0.804205596,-0.813357711
Algeria,Middle East & North Africa,Lower middle income,2015,4197.419971,165979000000,NA,NA,11.21,-25384908362,65.80602213,39543154,0.74,-1.090786576,-0.94210124,-0.847575545
Algeria,Middle East & North Africa,Lower middle income,2016,3967.20066,160034000000,NA,NA,10.2,-27449490181,65.22500492,40339329,0.743,-1.099741936,-0.917128682,-0.861592352
Algeria,Middle East & North Africa,Lower middle income,2017,4134.936099,170097000000,0.534319997,NA,12,-22402635934,64.64996599,41136546,0.744,-0.919614136,-0.92552745300000006,-0.902944028
Algeria,Middle East & North Africa,Lower middle income,2018,4171.795309,174911000000,NA,NA,NA,-15701394555,64.12152911,41927007,0.745,-0.84212178,-0.807303429,-0.995128453
Algeria,Middle East & North Africa,Lower middle income,2019,4021.983608,171760000000,NA,NA,NA,-15707643325,63.67237178,42705368,0.748,-1.055829883,-0.86179626,-1.05331111
Algeria,Middle East & North Africa,Lower middle income,2020,3354.157303,145744000000,NA,NA,NA,-17445134688,63.33544725,43451666,0.736,-0.847814322,-0.800302982,-1.087952256
Algeria,Middle East & North Africa,Lower middle income,2021,3700.311195,163472000000,NA,NA,NA,-2451655745,63.10592349,44177969,0.745,-0.992437243,-0.832210958,-1.009323955
